nfl_id,CSOE_avg,jugadas,player_name,player_position
38577.0,-0.36378894015849633,23,Bobby Wagner,MLB
53854.0,-0.3641328263258908,20,Nick McCloud,CB
47877.0,-0.37128155388541667,47,Jamel Dean,CB
53609.0,-0.3717066195639677,28,Talanoa Hufanga,SS
46269.0,-0.39417335547152105,34,Foye Oluokun,OLB
46669.0,-0.40086110090055,32,Jonathan Owens,SS
46085.0,-0.4031092072708882,28,Tremaine Edmunds,MLB
47788.0,-0.4067434504141503,27,Devin White,OLB
54487.0,-0.40914445274973893,21,Quay Walker,OLB
47891.0,-0.42517234244000696,43,Julian Love,SS
45345.0,-0.42697344245377156,26,Nicholas Morrow,ILB
46151.0,-0.43061996999113966,28,Tracy Walker III,FS
52627.0,-0.43205892847176663,50,Geno Stone,FS
43387.0,-0.43221960757550615,40,Justin Simmons,FS
48268.0,-0.4352731969641222,38,Azeez Al-Shaair,MLB
54513.0,-0.43808561593775885,43,Jaquan Brisker,SS
52607.0,-0.44542998533605216,47,Jordan Fuller,FS
55897.0,-0.4561313519946185,43,Joey Porter Jr.,CB
42929.0,-0.4750148068251854,48,Alex Singleton,ILB
56673.0,-0.4802708494698978,21,Eric Garror,CB
54527.0,-0.49015152917652616,27,Bryan Cook,FS
54540.0,-0.4918844684480208,23,Christian Harris,OLB
46086.0,-0.5092036960639964,36,Derwin James,SS
53554.0,-0.516021813000485,58,Camryn Bynum,FS
55882.0,-0.5167567653289289,26,Jack Campbell,MLB
53481.0,-0.5350854460932958,20,Jeremiah Owusu-Koramoah,OLB
55978.0,-0.5360794157477686,28,Clark Phillips III,CB
56540.0,-0.5654483889193874,42,Christian Izien,SS
47844.0,-0.566750855669073,25,Taylor Rapp,FS
54583.0,-0.5741054694577368,46,Akayleb Evans,CB
55912.0,-0.5911652558546646,27,Quan Martin,FS
55149.0,-0.5943916674701486,20,Markquese Bell,SS
41243.0,-0.5996263694018391,27,C.J. Mosley,ILB
38559.0,-0.6099216215811405,42,Harrison Smith,FS
42427.0,-0.6175940111688046,21,Jordan Hicks,ILB
48516.0,-0.6184444780003415,32,T.J. Edwards,OLB
47974.0,-0.6259291907155495,29,Marcus Epps,SS
46097.0,-0.6308873618634304,28,Terrell Edmunds,FS
40017.0,-0.654227073087749,48,Tyrann Mathieu,FS
35459.0,-0.6620260194868421,24,Kareem Jackson,SS
53532.0,-0.677840881427461,26,Ernest Jones,MLB
54719.0,-0.7225622879998949,25,Elijah Hicks,FS
52431.0,-0.8172682887722991,26,"Kenneth Murray, Jr.",MLB
43474.0,-0.8531347109749815,24,DeAndre Houston-Carson,FS
46139.0,-0.8531435841615611,36,Fred Warner,MLB
54718.0,-0.8708929220713412,39,Russ Yeast,FS
46699.0,-0.9748746586613365,27,Dee Delaney,CB
